datetime,ADX_14,DMP_14,DMN_14,signal
2022-10-20 13:00:00,21.86159451565965,16.455578150839038,18.740464583113187,0
2022-10-20 14:00:00,21.6385481713971,23.878868832306157,16.341917519368174,0
2022-10-20 15:00:00,21.43143370886759,22.341618021462118,15.289873298437255,0
2022-10-20 16:00:00,19.970534040569003,20.65238497560434,21.060688537232682,0
2022-10-20 17:00:00,19.47167472937771,18.944316088978187,24.59908094946713,0
2022-10-20 18:00:00,19.898185030225875,17.23315918375866,28.99487395547614,0
2022-10-20 19:00:00,20.053004005964716,17.40411062154549,27.259406237867196,0
2022-10-20 20:00:00,21.01904179640273,15.546425241075458,31.26431805140117,0
2022-10-20 21:00:00,21.729375916911867,15.346425007363296,29.112589564553684,0
2022-10-20 22:00:00,22.388971885956064,14.418823391175641,27.352903831978782,0
2022-10-20 23:00:00,23.16572670524196,13.730422630637522,27.417766824217665,0
2022-10-21 00:00:00,23.637193680336235,14.162220314607952,26.166605099169107,0
2022-10-21 01:00:00,23.924377797861293,14.287954773354612,25.213053241423168,0
2022-10-21 02:00:00,23.24273087306235,17.834675739619364,23.82603642463783,0
2022-10-21 03:00:00,22.77607540502847,16.798756494086234,23.539019002386134,0
2022-10-21 04:00:00,22.55692055903637,16.102977900170448,24.008015377111978,0
2022-10-21 05:00:00,22.353419630615136,15.668264817072293,23.359899329983712,0
2022-10-21 06:00:00,22.007678213043846,15.806208157946724,22.517929661351992,0
2022-10-21 07:00:00,22.16223866014821,14.59879373229714,23.905985984667325,0
2022-10-21 08:00:00,22.872343618544935,13.393773621684089,26.059849669002496,0
2022-10-21 09:00:00,23.981535394778717,11.982646598340057,26.922699720896002,0
2022-10-21 10:00:00,25.011499186995803,11.391151541446446,25.59372421682439,-1
2022-10-21 11:00:00,26.14145734655024,10.742226286409652,25.56803945353258,-1
2022-10-21 12:00:00,29.064543334637772,8.299061861315451,42.09703035206914,-1
2022-10-21 13:00:00,29.83970737061371,15.578276755250057,36.27744026537585,-1
2022-10-21 14:00:00,29.949638931899205,16.80973425769834,32.183060448710386,-1
2022-10-21 15:00:00,29.468689298641383,17.459098286336875,28.016981418463484,-1
2022-10-21 16:00:00,28.49392473682441,18.949658257222513,26.073162380072862,-1
2022-10-21 17:00:00,27.707279602449987,17.9984649610245,25.62407431227424,-1
