datetime,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,signal
2022-09-03 19:00:00,-63.66568806110445,-5.827160373237476,-57.83852768786697,-1
2022-09-03 20:00:00,-63.7603178976824,-4.737432167852333,-59.022885729830065,-1
2022-09-03 21:00:00,-62.804710870521376,-3.0254601125530414,-59.779250757968335,-1
2022-09-03 22:00:00,-57.74257190770004,1.629343080214639,-59.37191498791468,1
2022-09-03 23:00:00,-50.2546559464281,7.293807233189263,-57.548463179617364,1
2022-09-04 00:00:00,-45.87347214831607,9.339992825041037,-55.213464973357105,1
2022-09-04 01:00:00,-43.896493706513866,9.053577013474595,-52.95007071998846,0
2022-09-04 02:00:00,-40.85816024120504,9.673528383026735,-50.531688624231776,1
2022-09-04 03:00:00,-39.32831880552476,8.962695854965617,-48.291014660490376,0
2022-09-04 04:00:00,-35.423989261271345,10.29362031937523,-45.717609580646574,1
